exp_id,accuracy,average_accuracy,precision,recall,f1,num_updates,train_time_sec,buffer_size
0,78.0,78.0,16.014203429222107,15.599998831748962,15.804387701830283,79,31.045321458019316,2000
1,87.5,82.75,18.072158098220825,17.499999701976776,17.781477470128472,79,29.06323454109952,2000
2,65.55,77.01666666666667,13.598862290382385,13.109999895095825,13.349957171183314,79,30.667231374885887,2000
3,81.25,78.075,16.27037227153778,16.249999403953552,16.26017945130363,79,30.86010133335367,2000
4,80.15,78.49000000000001,16.05106294155121,16.029998660087585,16.04052388046293,79,27.737249040976167,2000
