exp_id,accuracy,average_accuracy,precision,recall,f1,num_updates,train_time_sec,buffer_size
0,62.45,62.45,16.348755359649658,12.490000575780869,14.161218621337891,79,30.833687250036746,2000
1,70.0,66.225,14.360873401165009,14.000001549720764,14.1781415523278,79,28.083850165829062,2000
2,72.85,68.43333333333332,15.858681499958038,14.570000767707825,15.187052762966166,79,27.77916754083708,2000
3,78.05,70.83749999999999,16.823497414588928,15.610000491142273,16.19404749908816,79,28.95954954205081,2000
4,75.75,71.82,16.079887747764587,15.150001645088196,15.60110077169942,79,29.70694199996069,2000
