exp_id,accuracy,average_accuracy,precision,recall,f1,num_updates,train_time_sec,buffer_size
0,94.25,94.25,18.88754963874817,18.850000202655792,18.868756234571958,79,31.78198220906779,2000
1,74.75,84.5,15.147039294242859,14.949999749660492,15.047874526890364,79,28.317906917072833,2000
2,55.7,74.89999999999999,11.50519847869873,11.140000820159912,11.319654884968758,79,40.05744554195553,2000
3,84.15,77.2125,17.02091246843338,16.830000281333923,16.924918017144957,79,31.935002291109413,2000
4,70.75,75.92,14.153492450714111,14.149999618530273,14.151745814103261,79,35.82666312484071,2000
